business_type,item_name,date,price,shelf_life_hours,quantity_available,quantity_sold,customer_demand,waste_quantity,weather_condition,holiday_flag,day_of_week,day_name,month,week_of_year,day_of_month,is_weekend,is_monday,is_friday,is_saturday,is_sunday,is_rainy,category,preparation_complexity,category_encoded,business_encoded,prev_day_demand,prev_day_sold,prev_day_waste,prev_week_demand,rolling_3day_demand,rolling_7day_demand,rolling_14day_demand,rolling_30day_demand,rolling_7day_std,rolling_14day_std,weekend_x_holiday,rainy_x_weekend,rainy_x_holiday,friday_x_weekend,day_sin,day_cos,month_sin,month_cos
Bakery,Cake Slice,2025-06-01,40,48.0,43,34,34,9,Clear,0,6,Sunday,6,22,1,1,0,0,0,1,0,dessert,5,2,0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,34.0,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-02,40,48.0,27,25,25,2,Clear,0,0,Monday,6,23,2,0,1,0,0,0,0,dessert,5,2,0,34.0,34.0,9.0,0.0,29.5,29.5,29.5,29.5,6.363961030678928,6.363961030678928,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-03,40,48.0,31,24,24,7,Clear,0,1,Tuesday,6,23,3,0,0,0,0,0,0,dessert,5,2,0,25.0,25.0,2.0,0.0,27.666666666666668,27.666666666666668,27.666666666666668,27.666666666666668,5.507570547286102,5.507570547286102,0,0,0,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-04,40,48.0,28,23,23,5,Clear,0,2,Wednesday,6,23,4,0,0,0,0,0,0,dessert,5,2,0,24.0,24.0,7.0,0.0,24.0,26.5,26.5,26.5,5.066228051190222,5.066228051190222,0,0,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-05,40,48.0,28,28,28,0,Clear,0,3,Thursday,6,23,5,0,0,0,0,0,0,dessert,5,2,0,23.0,23.0,5.0,0.0,25.0,26.8,26.8,26.8,4.43846820423443,4.43846820423443,0,0,0,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-06,40,48.0,23,23,23,0,Rainy,0,4,Friday,6,23,6,0,0,1,0,0,1,dessert,5,2,0,28.0,28.0,0.0,0.0,24.666666666666668,26.166666666666668,26.166666666666668,26.166666666666668,4.262237284181474,4.262237284181474,0,0,0,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-07,40,48.0,47,34,34,13,Clear,0,5,Saturday,6,23,7,1,0,0,1,0,0,dessert,5,2,0,23.0,23.0,0.0,0.0,28.333333333333332,27.285714285714285,27.285714285714285,27.285714285714285,4.8892496259407645,4.8892496259407645,0,0,0,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-08,40,48.0,43,34,34,9,Clear,0,6,Sunday,6,23,8,1,0,0,0,1,0,dessert,5,2,0,34.0,34.0,13.0,34.0,30.333333333333332,27.285714285714285,28.125,28.125,4.8892496259407645,5.111262075065217,0,0,0,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-09,40,48.0,28,24,24,4,Clear,0,0,Monday,6,24,9,0,1,0,0,0,0,dessert,5,2,0,34.0,34.0,9.0,25.0,30.666666666666668,27.142857142857142,27.666666666666668,27.666666666666668,4.980915960897534,4.9749371855331,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0
Bakery,Cake Slice,2025-06-10,40,48.0,28,28,28,0,Clear,0,1,Tuesday,6,24,10,0,0,0,0,0,0,dessert,5,2,0,24.0,24.0,4.0,24.0,28.666666666666668,27.714285714285715,27.7,27.7,4.785891965429423,4.691600058733812,0,0,0,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
